,år,område,sektor,jobtype,numbers
450,2007,region-nordjylland,kontor,logistik,186
451,2007,region-nordjylland,kontor,offentlig,227
452,2007,region-nordjylland,kontor,oversaettelse,24
453,2007,region-nordjylland,kontor,sekretaer,314
454,2007,region-nordjylland,kontor,oekonomi,863
455,2007,region-nordjylland,social,laege,376
456,2007,region-nordjylland,social,laegesekretaer,260
457,2007,region-nordjylland,social,pleje,1856
458,2007,region-nordjylland,social,psykologi,173
459,2007,region-nordjylland,social,socialraadgivning,384
460,2007,region-nordjylland,social,tandlaege,109
461,2007,region-nordjylland,social,teknisksundhed,33
462,2007,region-nordjylland,social,terapi,196
463,2007,region-nordjylland,oevrige,elev,794
464,2007,region-nordjylland,oevrige,forsvar,0
465,2007,region-nordjylland,oevrige,frivilligt,38
466,2007,region-nordjylland,oevrige,student,189
467,2007,region-nordjylland,oevrige,studiepraktik,3
468,2007,region-nordjylland,oevrige,oevrige,843
469,2007,region-nordjylland,oevrige,kurseroevrige,3
470,2007,region-midtjylland,it,database,97
471,2007,region-midtjylland,it,itdrift,973
472,2007,region-midtjylland,it,itkurser,2
473,2007,region-midtjylland,it,itledelse,412
474,2007,region-midtjylland,it,internet,204
475,2007,region-midtjylland,it,systemudvikling,2448
476,2007,region-midtjylland,it,telekom,112
477,2007,region-midtjylland,it,virksomhedssystemer,685
478,2007,region-midtjylland,ingenioer,byggeteknik,1717
479,2007,region-midtjylland,ingenioer,elektronik,1134
480,2007,region-midtjylland,ingenioer,kemi,460
481,2007,region-midtjylland,ingenioer,teknikledelse,481
482,2007,region-midtjylland,ingenioer,maskiningenioer,1605
483,2007,region-midtjylland,ingenioer,medicinal,225
484,2007,region-midtjylland,ingenioer,produktionsteknik,1189
485,2007,region-midtjylland,ledelse,detailledelse,0
486,2007,region-midtjylland,ledelse,freelancekonsulent,166
487,2007,region-midtjylland,ledelse,hrkurser,9
488,2007,region-midtjylland,ledelse,itledelse,412
489,2007,region-midtjylland,ledelse,institutions,758
490,2007,region-midtjylland,ledelse,leder,1435
491,2007,region-midtjylland,ledelse,teknikledelse,481
492,2007,region-midtjylland,ledelse,personale,572
493,2007,region-midtjylland,ledelse,projektledelse,1116
494,2007,region-midtjylland,ledelse,salgschef,626
495,2007,region-midtjylland,ledelse,topledelse,101
496,2007,region-midtjylland,ledelse,virksomhedsudvikling,0
497,2007,region-midtjylland,ledelse,oekonomichef,232
498,2007,region-midtjylland,handel,bud,489
499,2007,region-midtjylland,handel,boernepasning,346
500,2007,region-midtjylland,handel,detailhandel,8022
501,2007,region-midtjylland,handel,ejendomsservice,452
502,2007,region-midtjylland,handel,frisoer,259
503,2007,region-midtjylland,handel,hotel,3960
504,2007,region-midtjylland,handel,rengoering,5106
505,2007,region-midtjylland,handel,service,1242
506,2007,region-midtjylland,handel,sikkerhed,268
507,2007,region-midtjylland,industri,blik,735
508,2007,region-midtjylland,industri,byggeri,1216
509,2007,region-midtjylland,industri,elektriker,1502
510,2007,region-midtjylland,industri,industri,2255
511,2007,region-midtjylland,industri,jern,2522
512,2007,region-midtjylland,industri,lager,2584
513,2007,region-midtjylland,industri,landbrug,729
514,2007,region-midtjylland,industri,maling,362
515,2007,region-midtjylland,industri,mekanik,1258
516,2007,region-midtjylland,industri,naeringsmiddel,738
517,2007,region-midtjylland,industri,tekstil,322
518,2007,region-midtjylland,industri,transport,2518
519,2007,region-midtjylland,industri,traeindustri,471
520,2007,region-midtjylland,industri,toemrer,798
521,2007,region-midtjylland,salg,design,213
522,2007,region-midtjylland,salg,ejendomsmaegler,106
523,2007,region-midtjylland,salg,grafisk,727
524,2007,region-midtjylland,salg,kommunikation,256
525,2007,region-midtjylland,salg,kultur,289
526,2007,region-midtjylland,salg,marketing,623
527,2007,region-midtjylland,salg,salg,3672
528,2007,region-midtjylland,salg,salgskurser,1
529,2007,region-midtjylland,salg,franchise,13
530,2007,region-midtjylland,salg,telemarketing,541
531,2007,region-midtjylland,undervisning,bibliotek,73
532,2007,region-midtjylland,undervisning,forskning,871
533,2007,region-midtjylland,undervisning,laerer,1500
534,2007,region-midtjylland,undervisning,paedagog,5444
535,2007,region-midtjylland,kontor,akademisk,0
536,2007,region-midtjylland,kontor,ejendomsmaegler,106
537,2007,region-midtjylland,kontor,ejendomsservice,452
538,2007,region-midtjylland,kontor,finans,1214
539,2007,region-midtjylland,kontor,indkoeb,799
540,2007,region-midtjylland,kontor,jura,282
541,2007,region-midtjylland,kontor,kontor,3688
542,2007,region-midtjylland,kontor,kontorkurser,5
543,2007,region-midtjylland,kontor,kontorelev,335
544,2007,region-midtjylland,kontor,logistik,797
545,2007,region-midtjylland,kontor,offentlig,657
546,2007,region-midtjylland,kontor,oversaettelse,168
547,2007,region-midtjylland,kontor,sekretaer,1091
548,2007,region-midtjylland,kontor,oekonomi,3080
549,2007,region-midtjylland,social,laege,1059
550,2007,region-midtjylland,social,laegesekretaer,887
551,2007,region-midtjylland,social,pleje,4601
552,2007,region-midtjylland,social,psykologi,340
553,2007,region-midtjylland,social,socialraadgivning,697
554,2007,region-midtjylland,social,tandlaege,342
555,2007,region-midtjylland,social,teknisksundhed,229
556,2007,region-midtjylland,social,terapi,591
557,2007,region-midtjylland,oevrige,elev,1831
558,2007,region-midtjylland,oevrige,forsvar,0
559,2007,region-midtjylland,oevrige,frivilligt,83
560,2007,region-midtjylland,oevrige,student,912
561,2007,region-midtjylland,oevrige,studiepraktik,13
562,2007,region-midtjylland,oevrige,oevrige,2365
563,2007,region-midtjylland,oevrige,kurseroevrige,11
564,2007,sydjylland,it,database,34
565,2007,sydjylland,it,itdrift,594
566,2007,sydjylland,it,itkurser,2
567,2007,sydjylland,it,itledelse,275
568,2007,sydjylland,it,internet,93
569,2007,sydjylland,it,systemudvikling,1459
570,2007,sydjylland,it,telekom,39
571,2007,sydjylland,it,virksomhedssystemer,264
572,2007,sydjylland,ingenioer,byggeteknik,1453
573,2007,sydjylland,ingenioer,elektronik,736
574,2007,sydjylland,ingenioer,kemi,500
575,2007,sydjylland,ingenioer,teknikledelse,357
576,2007,sydjylland,ingenioer,maskiningenioer,1106
577,2007,sydjylland,ingenioer,medicinal,185
578,2007,sydjylland,ingenioer,produktionsteknik,989
579,2007,sydjylland,ledelse,detailledelse,0
580,2007,sydjylland,ledelse,freelancekonsulent,96
581,2007,sydjylland,ledelse,hrkurser,0
582,2007,sydjylland,ledelse,itledelse,275
583,2007,sydjylland,ledelse,institutions,589
